"player_id","match_id","match_start_time","kills","deaths","assists","win","total_damage_dealt_to_champions","total_damage_taken","gold_earned","champ_level","champion_name","vision_score","nexus_kills","turret_kills","inhibitor_kills","mythic_item","position"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496414578",1700686757409,7,5,2,TRUE,16342,22040,13657,16,"Irelia",12,0,3,1,6665,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3496226062",1700674803410,23,4,10,TRUE,56735,45663,23571,18,"Irelia",14,0,6,1,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3495896184",1700607253904,2,5,4,FALSE,29593,33275,12350,17,"Naafiri",25,0,1,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3495483934",1700575231212,1,2,3,TRUE,9713,11653,7250,13,"Ashe",16,0,1,0,NA,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3495338828",1700526342348,7,8,9,TRUE,25030,22826,12866,16,"Ashe",20,0,2,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3495315494",1700521153082,6,10,8,FALSE,30058,33974,13622,17,"Ashe",19,0,3,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3494454154",1700410266578,7,10,11,TRUE,43103,41911,18729,18,"Irelia",30,0,3,0,3152,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3493821973",1700327287212,6,3,4,TRUE,13590,12733,10468,12,"Irelia",10,0,3,0,NA,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3491548675",1699970219602,4,9,4,FALSE,30354,51033,12056,16,"Camille",18,0,1,0,6632,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3491531982",1699967684847,14,3,9,TRUE,40868,37697,14580,17,"Camille",26,0,3,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3491030366",1699883231081,2,8,5,FALSE,20873,26216,11497,16,"Naafiri",22,0,0,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3490551267",1699805393299,5,6,3,FALSE,19998,22451,10248,14,"Naafiri",27,0,0,0,6692,"MIDDLE"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3490504015",1699801986365,5,9,7,TRUE,24289,38555,12496,17,"Camille",18,1,1,1,6632,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3490480953",1699799726199,8,7,3,FALSE,20173,28798,11202,15,"Camille",21,0,0,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3490183625",1699741778835,9,3,6,FALSE,52654,35264,17274,17,"Naafiri",21,0,2,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3490155694",1699739500549,12,4,7,TRUE,37013,21021,16513,17,"Naafiri",27,0,3,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3489607714",1699660446254,5,4,4,FALSE,17559,21401,11377,16,"Naafiri",16,0,0,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3489582876",1699657691101,11,5,11,TRUE,40081,34206,18422,18,"Naafiri",19,0,3,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3489521789",1699652261079,15,1,11,TRUE,45909,42114,18809,18,"Camille",35,0,1,1,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3487664132",1699362872440,7,10,9,FALSE,36417,43836,15274,17,"Irelia",41,0,3,1,6630,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3486782154",1699209381429,17,8,6,FALSE,73125,49342,20908,18,"Naafiri",28,0,2,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3486646441",1699199548993,0,13,8,FALSE,5024,25834,6340,12,"Soraka",59,0,0,0,6617,"UTILITY"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3486555840",1699192028615,0,5,2,FALSE,19345,20320,8364,13,"Naafiri",12,0,1,0,6692,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3486545081",1699190075478,6,2,4,TRUE,17256,21976,12756,16,"Camille",17,1,4,0,6632,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3486513735",1699187865491,4,1,9,TRUE,23591,26992,12121,16,"Camille",23,0,3,0,6632,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3486477467",1699183460370,12,5,4,TRUE,34798,31857,15106,18,"Camille",23,0,1,0,6632,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3486022246",1699116144654,6,5,3,FALSE,24614,34984,12368,16,"Camille",19,0,0,0,6632,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3485920466",1699106787833,12,3,2,TRUE,21308,27041,13539,16,"Irelia",23,0,1,0,6662,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3485890279",1699103236307,9,10,10,FALSE,25198,37821,15603,18,"Camille",26,0,1,0,6632,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3485406989",1699032510953,5,9,6,TRUE,24677,37263,12536,17,"Camille",26,0,3,0,3078,"TOP"
"zwlLeN31xQwaocZE1bEC_i4Y91Rr6-VDrwrkPCi2G-SX889BGKzpT3IdtxhhdxncCX9cMjTgnoekAA","EUN1_3485391307",1699030252210,3,8,1,FALSE,14254,27375,10494,15,"Irelia",14,0,1,0,6662,"TOP"
